case,country,latitude,longitude,accuracy,matched_terms,impacts,url
"Hatgyi Dam, Myanmar",Myanmar,17.551081,97.733001,LOW country/state level,forced labour,"Increased militarization around the dam site has led to human rights abuses, which includes forced labour, illegal taxation and rape (13).",https://ejatlas.org/conflict/181
"Monoculture of sugar cane in Ribeirao Preto, Brazil",Brazil,-21.1840916402888,-47.9031372070312,MEDIUM regional level,slavery,local groups have taken actions; in 2005 Plataforma Dhesca Brasil investigated working conditions in plantations and collected allegations of the existence of a system similar to slavery in some farms.,https://ejatlas.org/conflict/208
"Quilombolas land demarcation, Dourados/MS, Brazil",Brazil,-22.2153774884593,-55.0428771972656,LOW country/state level,slavery,"The Quilombola famillies are descendents of Dezidério Felipe de Oliveira, who lived in the region prior to the abolition of slavery and fled of Minas Gerais in the early 20th century.",https://ejatlas.org/conflict/225
"Mines of Cerro Rico, Potosi, Bolivia",Bolivia,-19.5701421402827,-65.859375,HIGH local level,child labor,"0 0 P V V V 0 0 V V 0 V V child labor, widows with low income Del grito pionero .",https://ejatlas.org/conflict/442
"Shrimp farming, Bangladesh",Bangladesh,22.5683658479617,91.1077880859375,HIGH local level,child labor,"1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 P V 0 0 P V P P V P V P P 0 V V V P 0 0 0 salinisation of water, mangroves' disappearance 0 P P P V 0 V 0 V 0 0 0 V V V V V V 0 0 V V V V child labor Syed Mahmood Anwar.",https://ejatlas.org/conflict/454
"Chixoy Dam and Rio Negro massacre, Guatemala",Guatemala,15.281307980477333,-90.49082279539883,HIGH local level,slavery,"While some young men were captured by the army, tortured and then enrolled by force, 18 children were reduced to slavery by the military and paramilitary forces.",https://ejatlas.org/conflict/504
"Sugarcane plantations in the Cauca Valley, Colombia",Colombia,4.038065,-76.226625,HIGH local level,slavery,"Since the beginning of the 20th century, several farms have been grouped into family-owned companies, with a growing use of laborers, many of whom had been recruited since slavery was abolished.",https://ejatlas.org/conflict/686
"Yadana Gas field and pipeline, Myanmar",Myanmar,14.6686259073859,95.11962890625,MEDIUM regional level,forced labor; forced labour,"oject’s beginnings in the early 1990s, it has been marred by serious and widespread human rights abuses committed by pipeline security forces on behalf of the companies, including forced labor, land confiscation, forced relocation, rape, torture, murder.",https://ejatlas.org/conflict/842
"Firestone/Bridgestone Rubber Plantations, Liberia",Liberia,6.30223749245469,-10.630340078125,MEDIUM regional level,child labour; slave labour; slavery,There have been allegations of slave labour and child labour.,https://ejatlas.org/conflict/1075
"New expansion of oil palm plantations, Sao Tome and Principe",Sao Tome and Principe,0.1946,6.5465,MEDIUM regional level,slave labour,"Although the islands were not inhabited when the Portuguese arrived between 1469 and 1472, the subsequent introduction of sugar cane cultivation based on slave labour led to the forced arrival of Africans from Benin, Congo and Angola who brought with them the traditional uses of this oil palm (Elaeis guineesis).",https://ejatlas.org/conflict/1089
