lat,lon,at_risk_kwh,total_kwh,fraction,top_gear
-45.5,-60.5,104196217,156451166,0.666,squid_jigger
-45.5,-59.5,99617077,142388367,0.6996,squid_jigger
60.5,-7.5,35900345,65729350,0.5462,trawlers
-49.5,-59.5,34657211,59643486,0.5811,squid_jigger
-46.5,-60.5,32450532,53329816,0.6085,squid_jigger
60.5,-5.5,20017803,76235879,0.2626,trawlers
-19.5,-77.5,19434029,20962849,0.9271,squid_jigger
-1.5,-103.5,19182010,20133412,0.9527,squid_jigger
-1.5,-95.5,18896268,19677074,0.9603,squid_jigger
-18.5,-79.5,18744340,19732908,0.9499,squid_jigger
-1.5,-113.5,18278795,19648242,0.9303,squid_jigger
-1.5,-97.5,17966097,18781247,0.9566,squid_jigger
-17.5,-79.5,17847277,19361359,0.9218,squid_jigger
-9.5,-145.5,17640829,17862080,0.9876,drifting_longlines
-41.5,-57.5,17355110,37941690,0.4574,squid_jigger
66.5,0.5,16874090,23861191,0.7072,trawlers
-17.5,-77.5,15906596,16436689,0.9677,squid_jigger
-1.5,-149.5,15290511,16743200,0.9132,drifting_longlines
-1.5,-147.5,14771443,15780336,0.9361,drifting_longlines
-1.5,-99.5,14514264,15640576,0.928,squid_jigger
-47.5,-60.5,14458565,25774641,0.561,squid_jigger
76.5,40.5,14121599,58833512,0.24,trawlers
-18.5,-77.5,14066729,14939405,0.9416,squid_jigger
46.5,-45.5,14059748,14364960,0.9788,trawlers
48.5,-47.5,13989790,18620660,0.7513,trawlers
-49.5,-61.5,13093833,21756186,0.6018,squid_jigger
-2.5,-111.5,12900265,14075726,0.9165,squid_jigger
-2.5,-97.5,12315495,13097029,0.9403,squid_jigger
2.5,148.5,12043509,12568111,0.9583,drifting_longlines
-3.5,164.5,11918722,14007362,0.8509,drifting_longlines
43.5,-51.5,11803829,12436918,0.9491,trawlers
62.5,-29.5,11710738,34313223,0.3413,trawlers
40.5,150.5,11612528,15964627,0.7274,squid_jigger
-3.5,-165.5,11105971,12616877,0.8802,drifting_longlines
42.5,158.5,11012025,13034546,0.8448,squid_jigger
-1.5,-165.5,10970730,12293325,0.8924,drifting_longlines
66.5,-3.5,10849696,15542352,0.6981,trawlers
3.5,146.5,10841002,11921859,0.9093,drifting_longlines
2.5,146.5,10824259,11434055,0.9467,drifting_longlines
66.5,2.5,10766106,20419453,0.5272,trawlers
72.5,24.5,10471805,21451095,0.4882,trawlers
72.5,2.5,10450160,12493137,0.8365,trawlers
48.5,-45.5,10336183,10470578,0.9872,trawlers
-1.5,-145.5,9985963,11366127,0.8786,drifting_longlines
-3.5,-149.5,9971463,10623400,0.9386,drifting_longlines
-49.5,-60.5,9770370,18528998,0.5273,squid_jigger
-1.5,-151.5,9399050,10993900,0.8549,drifting_longlines
60.5,-6.5,9139568,31805215,0.2874,trawlers
50.5,-15.5,9123504,12657192,0.7208,trawlers
65.5,0.5,8995159,15238578,0.5903,trawlers
-1.5,-101.5,8853141,9441577,0.9377,squid_jigger
-37.5,30.5,8660365,8985763,0.9638,drifting_longlines
0.5,-111.5,8349599,9042130,0.9234,squid_jigger
-1.5,-167.5,8339957,9618763,0.8671,drifting_longlines
64.5,-1.5,8232031,20188463,0.4078,trawlers
-49.5,-57.5,8197513,13233927,0.6194,squid_jigger
66.5,1.5,8179050,11569904,0.7069,trawlers
-46.5,-59.5,7996588,15013093,0.5326,trawlers
-7.5,-145.5,7820613,8197697,0.954,drifting_longlines
2.5,142.5,7818375,11603194,0.6738,drifting_longlines
76.5,42.5,7808068,37399002,0.2088,trawlers
-5.5,-147.5,7758279,7976949,0.9726,drifting_longlines
-11.5,54.5,7703347,8168163,0.9431,drifting_longlines
74.5,34.5,7695231,31542164,0.244,trawlers
1.5,-111.5,7591803,8192576,0.9267,squid_jigger
