port_iso3,total_visits,high_risk_visits,share_pct
TUV,24,24,100.0
TZA,48,48,100.0
TTO,278,275,98.9
GUY,44,42,95.5
SGS,335,301,89.9
FLK,6881,6004,87.3
MUS,6514,5540,85.0
COL,116,97,83.6
PAN,1096,864,78.8
SLB,1793,1392,77.6
ATA,436,338,77.5
CPV,2172,1579,72.7
SYC,498,356,71.5
PNG,422,301,71.3
WSM,1051,721,68.6
SGP,3995,2618,65.5
PYF,1769,1121,63.4
TWN,11572,7205,62.3
KIR,589,364,61.8
PHL,392,242,61.7
SJM,3364,1918,57.0
KOR,9521,4994,52.5
JPN,25879,13470,52.0
NGA,835,433,51.9
FSM,989,503,50.9
GUM,684,334,48.8
FJI,8800,4128,46.9
URY,8466,3951,46.7
ASM,894,395,44.2
PER,9990,3530,35.3
CHN,21142,7304,34.5
KEN,160,55,34.4
SLV,27,9,33.3
IDN,2683,889,33.1
TON,349,111,31.8
LKA,1495,410,27.4
EGY,170,39,22.9
ECU,525,118,22.5
CHL,7465,1563,20.9
PLW,1250,242,19.4
MDV,127,23,18.1
ZAF,22710,3673,16.2
FRO,29409,4285,14.6
VUT,57,8,14.0
NAM,6885,893,13.0
MOZ,2759,325,11.8
MHL,3490,407,11.7
OMN,159,18,11.3
MEX,482,51,10.6
THA,1196,122,10.2
GNB,684,48,7.0
SEN,6667,456,6.8
RUS,61532,3880,6.3
SLE,1355,77,5.7
NZL,17552,975,5.6
NCL,4397,219,5.0
BRA,6879,333,4.8
GIN,1638,69,4.2
GRL,14762,578,3.9
AGO,2822,90,3.2
MRT,7585,235,3.1
GMB,152,4,2.6
MDG,819,20,2.4
SHN,86,2,2.3
ISL,78788,1740,2.2
CIV,415,9,2.2
DZA,52,1,1.9
CAN,65828,1247,1.9
REU,3067,58,1.9
NOR,285995,4984,1.7
PRT,75285,1305,1.7
SUR,183,2,1.1
GHA,5121,48,0.9
COG,760,7,0.9
USA,329640,2782,0.8
MYS,23389,177,0.8
MAR,4191,29,0.7
LBR,149,1,0.7
ESH,23417,127,0.5
ARG,53810,290,0.5
ESP,1000019,4836,0.5
POL,102127,357,0.3
GIB,297,1,0.3
LTU,4741,15,0.3
DEU,107350,250,0.2
UKR,3968,9,0.2
DNK,293304,516,0.2
IND,4692,6,0.1
IRL,86854,74,0.1
NLD,264819,217,0.1
MLT,23983,12,0.1
SWE,121320,60,0.0
AUS,34768,14,0.0
CYP,5209,2,0.0
EST,30068,8,0.0
GBR,362557,93,0.0
FRA,505917,124,0.0
BGR,25597,2,0.0
TUR,81518,6,0.0
LVA,42211,2,0.0
ALB,855,0,0.0
ARE,165,0,0.0
ATG,52,0,0.0
BEL,34862,0,0.0
BHR,3428,0,0.0
BHS,257,0,0.0
BRN,210,0,0.0
CMR,210,0,0.0
COD,49,0,0.0
CRI,119,0,0.0
CUW,25,0,0.0
DJI,50,0,0.0
FIN,15613,0,0.0
GEO,1683,0,0.0
GGY,730,0,0.0
GLP,130,0,0.0
GNQ,439,0,0.0
GRC,136860,0,0.0
GRD,47,0,0.0
GUF,1365,0,0.0
HRV,67095,0,0.0
IMN,4828,0,0.0
IRN,1474,0,0.0
ISR,12261,0,0.0
ITA,991361,0,0.0
JEY,1607,0,0.0
KWT,254,0,0.0
LBY,242,0,0.0
LCA,29,0,0.0
MAF,3613,0,0.0
MNE,1016,0,0.0
MTQ,66,0,0.0
PRI,146,0,0.0
QAT,1573,0,0.0
ROU,875,0,0.0
SAU,958,0,0.0
SPM,262,0,0.0
SVN,3740,0,0.0
SXM,135,0,0.0
TGO,22,0,0.0
TUN,573,0,0.0
VEN,21,0,0.0
VGB,36,0,0.0
VIR,21,0,0.0
VNM,168,0,0.0
