PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,HARBORSIZE,HARBORTYPE,MAX_VESSEL
SHAKOTAN,RU,43.866667,146.833333,V,CN,
MOMBETSU KO,JP,44.350000,143.350000,V,CB,
CHARLOTTETOWN,CA,46.233333,-63.133333,S,CN,L
ABASHIRI KO,JP,44.016667,144.283333,S,CB,M
NEMURO KO,JP,43.333333,145.583333,S,CB,M
HANASAKI KO,JP,43.283333,145.583333,V,CB,L
KUSHIRO KO,JP,42.983333,144.366667,M,CB,L
TOMAKOMAI KO,JP,42.633333,141.633333,S,CB,L
MURORAN KO,JP,42.350000,140.966667,M,CN,L
MORI,JP,42.116667,140.583333,V,OR,M
GOPALPUR,IN,19.250000,84.916667,S,CB,
EL GHARDAQA,EG,27.216667,33.850000,V,CN,
RAS SHUKHIER,EG,28.133333,33.283333,M,OR,M
RAS GHARIB,EG,28.350000,33.100000,V,OR,M
AS SUWAYS,EG,29.966667,32.550000,L,CB,M
EL-ADABIYA,EG,29.866667,32.466667,S,CN,L
EL ISMAILIYA,EG,30.583333,32.283333,S,LC,L
RAS ABU ZANIMAH,EG,29.033333,33.116667,S,CN,L
WADI FEIRAN,EG,28.750000,33.200000,S,OR,M
ELAT,IL,29.550000,34.950000,S,CN,L
AL AQABAH,JO,29.516667,35.000000,V,OR,M
YANBU,SA,24.083333,38.050000,V,CB,M
JIDDAH,SA,21.483333,39.183333,S,CB,M
JIZAN,SA,16.900000,42.483333,S,CB,M
SIMONSTOWN,ZA,-34.183333,18.433333,V,CB,M
MOSSEL BAY,ZA,-34.183333,22.150000,S,CB,M
PORT ELIZABETH,ZA,-33.966667,25.616667,M,CB,M
BELFAST,GB,54.616667,-5.900000,L,RB,L
LARNE,GB,54.850000,-5.800000,S,CN,L
COLERAINE,GB,55.133333,-6.666667,S,RN,M
LONDONDERRY,GB,55.000000,-7.316667,M,RN,L
ORNSAY,GB,57.150000,-5.800000,V,CN,M
BUCKIE HARBOR,GB,57.683333,-2.966667,V,CB,M
LOSSIEMOUTH,GB,57.716667,-3.283333,V,CB,M
BURGHEAD,GB,57.700000,-3.500000,V,CN,M
INVERNESS,GB,57.483333,-4.233333,S,RN,M
CROMARTY,GB,57.683333,-4.033333,S,CB,M
INVERGORDON,GB,57.683333,-4.166667,S,OR,L
PORTMAHOMACK HARBOR,GB,57.833333,-3.833333,S,CB,
HELMSDALE HARBOR,GB,58.116667,-3.650000,S,CB,M
WICK,GB,58.433333,-3.083333,S,CB,M
PIEROWALL,GB,59.300000,-2.983333,S,CN,
KETTLETOFT,GB,59.233333,-2.600000,V,CN,
WHITEHALL,GB,59.133333,-2.600000,V,CN,
KIRKWALL,GB,58.983333,-2.966667,V,CB,M
STROMNESS,GB,58.966667,-3.300000,V,OR,M
SOUTH NESS,GB,58.800000,-3.200000,V,CN,
ST MARGARETS HOPE,GB,58.833333,-2.950000,V,CN,
LYNESS,GB,58.833333,-3.200000,M,CN,
SCAPA BAY,GB,58.950000,-2.983333,S,CN,L
CHICAGO,US,41.883333,-87.600000,M,CT,L
WILMETTE,US,42.083333,-87.683333,V,CB,M
GREAT LAKES,US,42.300000,-87.833333,V,CB,M
WAUKEGAN,US,42.366667,-87.816667,S,CB,M
KENOSHA,US,42.583333,-87.816667,V,CB,M
RACINE,US,42.733333,-87.783333,S,CB,M
MILWAUKEE,US,43.033333,-87.883333,M,RN,M
PORT WASHINGTON,US,43.383333,-87.866667,S,CB,M
SHEBOYGAN,US,43.750000,-87.700000,S,RN,M
MANITOWOC,US,44.100000,-87.650000,M,RN,L
PORT HOPE,US,43.950000,-82.700000,V,OR,L
BAY CITY,US,43.600000,-83.866667,S,RN,M
SARNIA,CA,42.983333,-82.416667,S,RN,L
POINT EDWARD,CA,43.000000,-82.416667,S,RN,L
GODERICH,CA,43.750000,-81.733333,S,CB,L
PORT ELGIN,CA,44.433333,-81.400000,V,CB,M
SOUTHAMPTON,CA,44.500000,-81.383333,V,CB,M
TOBERMORY,CA,45.266667,-81.666667,V,CN,M
LIONS HEAD,CA,44.983333,-81.250000,V,CB,M
WIARTON,CA,44.750000,-81.133333,V,CN,M
OWEN SOUND,CA,44.583333,-80.933333,S,RN,L
MEAFORD,CA,44.616667,-80.600000,V,CB,
THORNBURY,CA,44.566667,-80.450000,V,CB,M
COLLINGWOOD,CA,44.500000,-80.233333,S,CB,M
PENETANGUISHENE,CA,44.766667,-79.933333,V,CN,M
MIDLAND,CA,44.750000,-79.916667,S,CN,M
TIFFIN,CA,44.750000,-79.850000,V,CN,M
PORT MCNICOLL,CA,44.750000,-79.800000,V,CN,M
VICTORIA HARBOUR,CA,44.750000,-79.816667,V,CN,
WAUBAUSHENE,CA,44.766667,-79.716667,V,CN,M
PORT SEVERN,CA,44.800000,-79.716667,V,RN,
DEPOT HARBOUR,CA,45.316667,-80.100000,V,CN,M
PARRY SOUND,CA,45.333333,-80.033333,S,CN,L
BYNG INLET,CA,45.766667,-80.566667,V,CN,M
KEY HARBOUR,CA,45.883333,-80.750000,V,CN,M
KILLARNEY,CA,45.966667,-81.516667,V,CN,M
MAMONAL,CO,10.316667,-75.516667,S,OR,M
IMBITUBA,BR,-28.233333,-48.666667,V,CN,L
GUAIBA ISLAND TERMINAL,BR,-23.016667,-44.033333,S,CN,L
DTSE / GEGUA OIL TERMINAL,BR,-22.816667,-43.150000,M,OR,L
GEBIG,BR,-23.050000,-44.216667,S,OR,L
DE KASTRI,RU,51.466667,140.783333,M,CN,M
NIKOLAYEVSK NA AMUR,RU,53.133333,140.733333,V,RN,M
OKHA,RU,53.550000,143.000000,V,CN,M
PORONAYSK,RU,49.216667,143.133333,V,OR,M
KORSAKOV,RU,46.616667,142.766667,S,CB,M
NEVELSK,RU,46.666667,141.866667,V,CB,M
KHOLMSK,RU,47.050000,142.050000,S,CB,M
UGLEGORSK,RU,49.083333,142.033333,V,OR,M
LESOGORSK,RU,49.450000,142.133333,V,OR,
MASAN,KR,35.183333,128.566667,M,CN,L
PUSAN,KR,35.100000,129.033333,L,CB,L
ULSAN,KR,35.450000,129.400000,M,RN,L
WENZHOU,CN,28.016667,120.650000,M,RN,M
ZHEN HAI,CN,29.950000,121.700000,V,RN,M
ZHOUSHAN,CN,30.000000,122.100000,S,CN,L
JIANGYIN,CN,31.916667,120.233333,S,RN,M
GAOGANG,CN,32.283333,119.850000,S,RN,L
YANGZHOU,CN,32.266667,119.433333,S,RN,M
ZHENJIANG,CN,32.216667,119.433333,S,RN,M
NANJING,CN,32.083333,118.750000,V,RN,L
WU HU,CN,31.333333,118.366667,S,RN,
ANKINGCHENG,CN,30.516667,117.033333,V,RN,M
HANKOW,CN,30.583333,114.283333,M,RN,
WANXIAN,CN,30.816667,108.433333,V,RN,
CHUNG CHING,CN,29.566667,106.633333,V,RN,
LIANYUNGANG,CN,34.733333,119.450000,S,CB,M
QINGDAO GANG,CN,36.033333,120.266667,L,OR,M
